studentid,firstname,lastname,GPA,Major
10055,Hettie,Tamar,3.25,Statistics
10056,Sam,Darbie,2.375,Statistics
10057,Anthia,Andrel,3,Graphic Design
10058,Chrystel,Santoro,2.5,Music
10059,Tierney,Docilla,3.125,Art
10060,Lizzie,Xerxes,2.875,English
10061,Althea,Sibyls,2.5,Health
10062,Beverley,Raama,2.625,Business/Commerce
10063,Aubrie,Gino,2.75,IT
10064,Nariko,Hermes,3.125,Psychology
10065,Fanny,Connelly,2.75,Sports
10066,Goldie,Raimondo,3.375,English
10067,Lynea,Peonir,1.875,English
10068,Jennica,Andrel,2.5,Art
10069,Debee,Aurelio,2.25,Engineering
10070,Kimmy,Chobot,2.625,IT
10071,Shauna,Johnsson,2.75,IT
10072,Mureil,Xerxes,3.25,Art
10073,Letizia,Maurine,3,Computer science
10074,Aurore,Elsinore,2.125,Health
10075,Jeanna,Bibi,2.875,English
10076,Dawn,Bebe,2.875,Engineering
10077,Marline,Freddi,3,Sports
10078,Noelle,Loleta,3.25,Psychology
10079,Krystle,Therine,3.125,Graphic Design
10080,Cassandra,Standing,2.75,Health
10081,Ketti,Magdalen,2.5,History
10082,Misha,Torray,2.875,IT
10083,Christy,Westphal,3.375,Health
10084,Cissiee,Rocray,2.375,Health
10085,Marti,Honoria,3.25,Sports
10086,Ezmeralda,Obed,3.125,Art
10087,Darci,Khorma,2.25,Music
10088,Maryellen,Dermott,3.25,Art
10089,Tatiania,Goth,2.875,Graphic Design
10090,Laurene,Hourigan,3.5,English
10091,Maye,Raimondo,2.25,Architecture
10092,Sallie,Vins,2,Science
10093,Glenda,Odysseus,2.375,Statistics
10094,Kirbee,Shaddock,3.375,Engineering
10095,Christal,Peti,2.875,Computer science
10096,Kristan,Anton,2.625,Music
10097,Cyb,Vary,2.875,Computer science
10098,Elora,Warthman,2.125,Computer science
10099,Vita,Uird,2.5,Business/Commerce
10100,Charmaine,Keelia,3,Sports
10101,Halette,Kylander,3.25,English
10102,Roslyn,Libna,2.75,Art
10103,Thalia,Turne,2.75,English
10104,Viki,Klemperer,2.75,History
10105,Elfreda,Zrike,2.875,English
10106,Corry,Danby,3,Sports
10107,Teriann,Craggie,2.625,Music
10108,Asia,Audly,2.875,English
10109,Lory,Dom,3.25,History
10110,Anthia,Elisha,2.125,Computer science
10111,Max,McCutcheon,2.75,Science
10112,Edyth,Pierette,2.375,Statistics
10113,Florie,Masao,2.875,Architecture
10114,Giustina,Chabot,2.375,IT
10115,Myrtice,McLaughlin,3.125,Computer science
10116,Adelle,Hewitt,2.625,History
10117,Leona,Georgy,2.75,Robotics
10118,Yvonne,Aurelio,2.875,Business/Commerce
10119,Gilligan,Carmena,2.875,Sports
10120,Aeriela,Calhoun,2.375,Art
10121,Kial,Caitlin,2.25,Statistics
10122,Ada,Felizio,2.625,Computer science
10123,Cindelyn,Docilla,2.125,Business/Commerce
10124,Lisette,Jotham,3.125,Robotics
10125,Cathie,Luhe,3.125,Graphic Design
10126,Dione,Brian,2.75,Computer science
10127,Viki,Lenny,2.875,Architecture
10128,Leia,Stelle,1.75,Graphic Design
10129,Phedra,Kesley,2.875,Science
10130,Dede,Bearnard,2.5,Business/Commerce
10131,Jinny,Idelia,2.375,Graphic Design
10132,Almeta,Keily,3.25,IT
10133,Edee,Halla,2.5,IT
10134,Melina,Paine,2.875,English
10135,Nannie,Phaidra,2.25,Business/Commerce
10136,Lizzie,Margarete,3.125,Engineering
10137,Bernardine,Thar,2.625,Sports
10138,Leona,Zamora,2.875,Architecture
10139,Marsiella,Daegal,2.875,Robotics
10140,Morganica,Salchunas,2.625,Health
10141,Elora,Schroth,2.5,Statistics
10142,Margalo,Adlare,2.125,Music
10143,Kellen,Guildroy,2.5,IT
10144,Imojean,Evvie,2.875,Art
10145,Marcelline,Aida,2.375,Science
10146,Addia,Irmine,2.5,Statistics
10147,Shaylyn,Brotherson,2.625,Architecture
10148,Charmaine,Winthorpe,2.875,Music
10149,Sharlene,Felizio,2.75,English
10150,Marinna,Henebry,2.75,History
10151,Hermione,Brotherson,2.5,Computer science
10152,Cacilie,Santoro,3.125,English
10153,Yolane,Hillel,3,English
10154,Stacey,Gordon,3.25,Health
10155,Lindie,Hollingsworth,2.75,Art
10156,Fred,Alejoa,2.75,Robotics
10157,Lynnea,Santoro,2.75,Music
10158,Cherilyn,Ogren,3.25,Architecture
10159,Krystle,Selway,3,Robotics
10160,Dianemarie,Germann,2.25,Sports
10161,Imojean,Rossner,2.875,Psychology
10162,Odessa,Lumbard,3.125,Business/Commerce
10163,Marguerite,Arley,2.375,Robotics
10164,Iseabal,Rudolph,2.75,Music
10165,Gui,Papageno,2.25,Sports
10166,Fredericka,Wenda,2.5,Statistics
10167,Ebonee,Neva,3.125,Sports
10168,Shaylyn,Dom,3.375,History
10169,Lizzie,Tufts,3.125,Art
10170,Kimberley,Paton,3.125,Engineering
10171,Evaleen,Isidore,3.25,History
10172,Brietta,Kolnick,2.75,Health
10173,Mireielle,Birdella,3,Statistics
10174,Rivalee,Stilwell,2.875,Art
10175,Mildrid,Odysseus,3,IT
10176,Jsandye,Weinreb,2.875,History
10177,Etta,Jefferey,2.5,Graphic Design
10178,Regina,Florina,3.25,History
10179,Jacenta,Seumas,2.375,Psychology
10180,Theodora,Faria,1.75,Music
10181,Ariela,Bahr,2.375,History
10182,Darci,Thilda,3.125,Business/Commerce
10183,Bettine,Dudley,2.5,Health
10184,Kary,Bahr,3.5,Robotics
10185,Jordan,Kaja,2.25,Graphic Design
10186,Eve,Maisey,2.875,History
10187,Phylis,Virgin,2.25,Psychology
10188,Dale,Fleeta,2.75,Psychology
10189,Madelle,Paton,2.875,Graphic Design
10190,Antonietta,Brunell,2.125,English
10191,Eve,Adamsen,3.375,Engineering
10192,Lusa,Reneta,2.75,English
10193,Celestyna,Sherrie,3,English
10194,Imojean,Maribeth,2.75,Robotics
10195,Claresta,Peti,3.125,Science
10196,Loree,Raychel,2.625,Music
10197,Fina,Jethro,3.25,Sports
10198,Molli,Phi,2.625,Art
10199,Merle,Trey,3.25,IT
10200,Bibby,Grayce,2.75,Robotics
10201,Kara-Lynn,Sigfrid,2.625,History
10202,Stacey,Hanshaw,3,Health
10203,Lynde,Hepsibah,2.125,Health
10204,Janey,Wareing,2.375,Psychology
10205,Kamilah,Zachary,2.75,Business/Commerce
10206,Penelopa,Parsaye,2.5,Robotics
10207,Lynde,Amasa,2.375,Science
10208,Cathie,Hamil,2.125,Psychology
10209,Sybille,Florina,3,Robotics
10210,Flory,Bivins,2.75,Music
10211,Ottilie,Salchunas,3.375,Science
10212,Zia,Frodi,3,English
10213,Gabriellia,Wesle,2.75,IT
10214,Cyb,Rocray,1.875,Engineering
10215,Meg,Ranjiv,2.875,Art
10216,Fernande,Wu,3.25,Science
10217,Valera,Sharl,3.125,Science
10218,Amara,Urania,2.375,Health
10219,Kate,Iaverne,2,Health
10220,Hallie,Adlare,1.875,English
10221,Corina,Bari,2.75,Science
10222,Margarette,Secrest,2.5,IT
10223,Edee,Chesna,3.25,English
10224,Mireielle,Dielu,3.125,Science
10225,Keelia,Thilda,2.125,Graphic Design
10226,Blinni,Koehler,3,Science
10227,Caritta,Rurik,3,Architecture
10228,Hettie,Leonard,2.375,Robotics
10229,Maryellen,Dreda,2.25,Sports
10230,Camile,Malina,3,Science
10231,Corina,Drus,2.875,English
10232,Dianemarie,Lynn,3.375,Computer science
10233,Kaja,Gerge,2.25,Art
10234,Carmencita,LaRue,2.5,Art
10235,Bee,Standing,2.875,Art
10236,Stephanie,Adlare,2.75,Psychology
10237,Aili,Gillan,2.625,Psychology
10238,Madalyn,Chrystel,2.125,Robotics
10239,Phylis,Engdahl,2.375,Psychology
10240,Shel,Corrine,2.5,Computer science
10241,Lila,Ursulette,2.375,Statistics
10242,Tiffie,Glenden,2.375,Statistics
10243,Gertrud,Lail,2.625,Engineering
10244,Annecorinne,Maxi,2.375,Science
10245,Kate,Sparhawk,3.375,Health
10246,Aurore,Carvey,2.25,Statistics
10247,Farrah,Estella,2.875,Engineering
10248,Kaja,Warthman,2.625,Statistics
10249,Cyb,Fairweather,2.375,Robotics
10250,Adriana,Bibi,2.875,Psychology
10251,Phedra,Diogenes,2.25,Robotics
10252,Hayley,Shaddock,2.75,Health
10253,Aryn,Uird,2.875,Engineering
10254,Janenna,Old,2.875,Music
10255,Elvira,Ralfston,2.875,Science
10256,Valera,Odysseus,3.375,Robotics
10257,Rosene,Lewes,3.125,History
10258,Ofilia,Quent,2.625,Graphic Design
10259,Nonnah,Simmonds,2.75,Statistics
10260,Zia,Torray,3.125,Health
10261,Blinni,Leopold,3,Robotics
10262,Meghann,Koziara,3.5,Computer science
10263,Ronna,Ralfston,3.375,Engineering
10264,Clarice,Cordi,3.125,History
10265,Marika,Carlson,2.625,Psychology
10266,Eadie,Hermes,3,History
10267,Myriam,Adlare,2.5,IT
10268,Mahalia,Fabiola,2.25,Graphic Design
10269,Elyssa,Fleeta,2.625,Sports
10270,Brooks,Concha,2.875,Sports
10271,Almeta,Dahlia,2.75,Sports
10272,Hallie,Lowry,2.625,Architecture
10273,Shel,Kimmie,2.5,Statistics
10274,Ida,Sharl,3,Business/Commerce
10275,Aigneis,Frendel,1.875,History
10276,Ottilie,Berne,2.875,Science
10277,Peri,Meli,1.875,Art
10278,Elvira,Gillan,3.25,Business/Commerce
10279,Nollie,Jacqui,2.75,Sports
10280,Ira,Tamsky,2.625,Psychology
10281,Tersina,Ivens,2.625,Architecture
10282,Jessamyn,Linskey,3,Business/Commerce
10283,Danny,Sancho,2.625,Statistics
10284,Georgina,Pelagias,2.875,Music
10285,Dominga,Wesle,2.875,Health
10286,Dianemarie,Masao,2.875,Health
10287,Oralee,Durware,2.125,Sports
10288,Hayley,Noam,2.875,IT
10289,Linzy,Old,3.625,Computer science
10290,Misha,Ogren,2.375,Computer science
10291,Feliza,Ricki,3.5,IT
10292,Etta,Saunderson,2.75,Science
10293,Jorry,Solitta,2.625,Robotics
10294,Lulita,Kauppi,3.125,Graphic Design
10295,Jobi,Jena,2.5,Music
10296,Jsandye,Wind,2.5,Health
10297,Nelle,Ariella,3.125,Graphic Design
10298,Margette,Adore,2.75,Business/Commerce
10299,Brietta,Turne,2.375,Psychology
10300,Feliza,Gemini,2.625,Psychology
10301,Ernesta,Alarise,2.5,Art
10302,Phylis,Juliet,3.375,History
10303,Yolane,Delacourt,3.125,Psychology
10304,Talya,Mathilde,3,Architecture
10305,Mignon,Briney,2.5,Architecture
10306,Nariko,Chabot,3.375,IT
10307,Rhea,Hartnett,2.75,IT
10308,Kathy,Capello,2.875,Art
10309,Bill,Saree,2.625,English
10310,Elsie,Francene,3,Sports
10311,Barbara,Vins,2.625,Health
10312,Brynna,Gaynor,3.125,Architecture
10313,Ottilie,Korey,2.375,History
10314,Barbara,Christal,1.875,History
10315,Shel,Wareing,3.125,IT
10316,Fanchon,Nahum,2.375,Art
10317,Dagmar,Clie,2.125,Engineering
10318,Misha,Carlson,2.875,Engineering
10319,Esmeralda,McNully,2.875,Statistics
10320,Gilligan,Tarrant,2.875,Art
10321,Kate,Norvol,2.625,Engineering
10322,Sibella,Burkle,3.25,Sports
10323,Kathy,Blisse,3,Engineering
10324,Lilith,Adlare,3.125,Science
10325,Dode,McGrody,2.875,Psychology
10326,Marita,Niccolo,3,Business/Commerce
10327,Philis,Anyah,3.375,Engineering
10328,Misha,Mendez,2.125,Science
10329,Lyssa,Kristi,2.5,Graphic Design
10330,Caryl,Septima,3.5,Statistics
10331,Sandie,Riva,2.5,History
10332,Netty,Urias,2.375,Sports
10333,Darci,Pauly,2.25,History
10334,Gale,Nea,2.5,Engineering
10335,Brianna,Wind,2.25,Statistics
10336,Ermengarde,Dash,2.5,Health
10337,Jerry,Gillan,2.375,Psychology
10338,Tina,Sheng,2.75,Graphic Design
10339,Loree,Modie,3,Health
10340,Tori,Maples,3,Statistics
10341,Basia,Janene,2.625,Business/Commerce
10342,Sabina,Kelula,3.375,Health
10343,Perry,Sancho,3,History
10344,Annabela,Posner,3.5,Graphic Design
10345,Eadie,Edison,3,Architecture
10346,Dennie,Rona,2.75,Computer science
10347,Petronia,Naashom,3.125,Computer science
10348,Lorie,Peti,3,Art
10349,Violet,Eugenia,3,Architecture
10350,Aurore,Si,2.75,Psychology
10351,Anallese,Judye,2.75,English
10352,Sam,Claudine,1.875,Computer science
10353,Margalo,Kress,2,Graphic Design
10354,Marsiella,Adamsen,3.375,History
10355,Celene,Slifka,2.625,Statistics
10356,Kayla,Plato,2.5,Engineering
10357,Jinny,Karl,2.375,Architecture
10358,Berget,Alcott,2.5,Art
10359,Atlanta,Artie,3.25,Sports
10360,Dominga,Barney,3,Business/Commerce
10361,Atlanta,Nisbet,2.75,Graphic Design
10362,Sharlene,Seligman,2.25,Computer science
10363,Mary,Durware,2.875,IT
10364,Merle,Ahab,2.875,Science
10365,Jacenta,Graig,3.125,IT
10366,Annice,Even,3,Computer science
10367,Dagmar,Haymes,3,Science
10368,Anallese,Hilbert,2.375,English
10369,Yetty,Brackely,2.25,Statistics
10370,Ninnetta,Persse,2.5,Psychology
10371,Cassondra,Marden,2.875,Psychology
10372,Dode,Jerold,2.5,Science
10373,Elora,Phi,2.75,Psychology
10374,Michaelina,Pauly,2,Computer science
10375,Gianina,Madelene,3.5,IT
10376,Fina,Smitt,2.625,Sports
10377,Mariann,Heisel,3.375,IT
10378,Alie,Pulsifer,3.5,Art
10379,Stevana,Rona,2.75,Art
10380,Gabi,Wildermuth,2.75,Engineering
10381,Flo,Longfellow,1.875,Robotics
10382,Flory,Kare,2.875,Art
10383,Janeczka,Bohlin,2,Robotics
10384,Briney,Joseph,3,Architecture
10385,Madeleine,Rubie,2.625,Health
10386,Kary,Sadowski,3,Statistics
10387,Daune,Pitt,2.25,Science
10388,Mureil,Allina,2.375,Music
10389,Mariele,Bevin,3.125,Computer science
10390,Kristina,Sperling,2.375,English
10391,Roxane,Linskey,2.25,Robotics
10392,Paule,Klotz,2.75,Business/Commerce
10393,Robinia,Engdahl,2.25,Architecture
10394,Jenilee,Laverne,2.875,IT
10395,Vere,Robertson,2.5,Sports
10396,Valeda,Cohdwell,3.125,History
10397,Teriann,Masao,2.375,Psychology
10398,Helsa,Hull,2.875,Architecture
10399,Christy,Oriana,3.625,Health
10400,Andeee,Aprile,2.75,Music
10401,Korrie,Chapland,3.125,Art
10402,Mamie,Raul,3,Health
10403,Korrie,Fax,3,History
10404,Yvonne,Hazlett,2.5,Engineering
10405,Gloria,Fillbert,2.25,Health
10406,Corina,Fink,2.875,IT
10407,Robbi,Frodi,3,Science
10408,Agathe,Wesle,3.125,Architecture
10409,Charissa,Lemuela,2.125,Statistics
10410,Mamie,Obed,2,Sports
10411,Maryellen,Giule,2.125,History
10412,Fanchon,Hedve,2.75,History
10413,Jaclyn,Ephrem,3.125,Psychology
10414,Mady,Nedrud,2.125,Business/Commerce
10415,Mallory,Ferrell,2.75,Architecture
10416,Lorenza,Cadmar,3.125,Computer science
10417,Vere,Ochs,2.875,Music
10418,Fawne,Holbrook,3.375,IT
10419,Shirlee,Cadmar,2.625,Art
10420,Joeann,Soneson,2.375,Sports
10421,Sue,Maryanne,3.25,Science
10422,Perry,Lumbard,2.25,Computer science
10423,Heddie,Lalitta,3.125,Business/Commerce
10424,Elyssa,Wallis,2,Sports
10425,Drucie,Martguerita,3.25,History
10426,Mathilda,Croix,2.75,Graphic Design
10427,Aigneis,Gahl,2.875,Graphic Design
10428,Lily,Old,2.75,Psychology
10429,Winifred,Modie,3,Health
10430,Gianina,Erskine,2.625,Health
10431,Deedee,Dunkin,1.875,English
10432,Damaris,Ashok,3,Graphic Design
10433,Ginnie,Hutchison,2.75,Sports
10434,Rhea,Kosey,2.625,Health
10435,Carmencita,Killigrew,2.875,History
10436,Helsa,Janith,2.375,Health
10437,Candi,Lilybelle,2.625,IT
10438,Deirdre,Jaylene,2.75,IT
10439,Melodie,Bakerman,2.625,History
10440,Brana,Kendrick,3,Health
10441,Karly,O'Neill,2,Health
10442,Katharina,Fredi,2.5,Robotics
10443,Mallory,Craggie,2.75,English
10444,Mariele,Means,3.125,Architecture
10445,Allyce,Mendez,3.125,Health
10446,Sissy,Nea,2.375,IT
10447,Emylee,Luhe,2.75,IT
10448,Jemie,Wallis,2.875,IT
10449,Dyann,Edmund,2.5,Music
10450,Alyda,Scammon,3.125,Sports
10451,Neila,McCutcheon,2.75,Science
10452,Candi,Jerold,3,Architecture
10453,Lesly,Dalli,2.75,Psychology
10454,Gilda,Nerita,3.5,Psychology
10455,Elie,Hurley,3.375,Statistics
10456,Viki,Ruvolo,2.75,History
10457,Sarette,Alice,3.125,Sports
10458,Gwenneth,Syd,3.375,Graphic Design
10459,Ricky,Thema,3.375,Sports
10460,Ilse,Rheingold,2.25,IT
10461,Clary,Lamoree,3,Statistics
10462,Nanete,Malvino,2.5,Health
10463,Belva,Wu,3.75,Health
10464,Aeriela,Lauraine,2,Art
10465,Marnia,Rosette,3,IT
10466,Brianna,Wenoa,2.25,IT
10467,Teriann,Gaulin,2.875,Science
10468,Hannis,Screens,3.375,IT
10469,Melisent,Germann,2.125,Science
10470,Sara-Ann,Martsen,2.625,Science
10471,Tierney,Durante,3,Psychology
10472,Paule,Si,2.875,Psychology
10473,Frances,Sisile,2.875,IT
10474,Sashenka,Junie,2.75,History
10475,Tomasina,Weitman,2.875,Robotics
10476,Mignon,Mathilde,3,Health
10477,Elvira,Myrilla,2.125,Computer science
10478,Marika,Melan,2.5,Science
10479,Kirstin,Bobbee,3,Art
10480,Regina,Willie,3.25,Robotics
10481,Hallie,Stav,2.5,Engineering
10482,Kimmy,Lucienne,2.875,English
10483,Fina,Levey,2.75,History
10484,Selia,Chesna,3.625,Engineering
10485,Aeriela,Aloise,2.75,Architecture
10486,Konstance,Mich,2.25,Statistics
10487,Jany,Santoro,2.625,Art
10488,Rayna,Anestassia,2.75,Health
10489,Alameda,Dunkin,2.625,Music
10490,Katharina,Vharat,3,Health
10491,Sindee,Rogerio,1.75,Psychology
10492,Estell,Amand,3,Music
10493,Merci,Amasa,2.625,Architecture
10494,Frank,Nicoline,3.125,History
10495,Verla,Center,3,Health
10496,Dotty,Prouty,2.5,Engineering
10497,Caritta,Millda,2.875,History
10498,Melisent,Pond,3,Art
10499,Emma,Ardeha,2.875,History
10500,Joleen,Palocz,3.375,Health
10501,Annora,Nunci,2.625,English
10502,Charissa,Ilka,2.25,Statistics
10503,Marcelline,Minetta,2.25,Robotics
10504,Henriette,Evvie,2.875,Architecture
10505,Drucie,Rogerio,3.25,Computer science
10506,Margarette,Anderea,2.625,Psychology
10507,Gwenneth,Lewes,2.5,Art
10508,Larine,Buffum,3.125,English
10509,Christal,Aurelio,2.375,Psychology
10510,Babita,Madox,3.125,Health
10511,Iseabal,Chinua,2.25,Sports
10512,Raf,Grimbly,3,IT
10513,Katuscha,Autrey,2.875,IT
10514,Cam,Alwin,2.75,English
10515,Netty,Pattin,2.5,Business/Commerce
10516,Inga,Sharl,3.25,Graphic Design
10517,Bernardine,Chrystel,2.5,Architecture
10518,Cyb,Cressida,3,Statistics
10519,Danny,Couture,3.125,English
10520,Gwyneth,Millda,2.75,Science
10521,Ruthe,Barrus,2.25,IT
10522,Melina,Timon,2.75,Statistics
10523,Chere,Darian,2.75,Computer science
10524,Orelia,Harriman,2.875,Health
10525,Britte,Tyson,2.375,Sports
10526,Feliza,Bari,2.75,Architecture
10527,Jinny,Infield,2.5,Architecture
10528,Renie,Lay,3.5,Statistics
10529,Kate,Hilbert,2.875,Computer science
10530,Jessamyn,Thomasina,3,IT
10531,Emelina,Pearse,2.75,English
10532,Jerry,Lesley,3,Science
10533,Helena,Reidar,2.75,Architecture
10534,Phedra,Monaco,3.125,Music
10535,Florencia,Hewitt,2.75,Graphic Design
10536,Emmey,Jess,1.875,History
10537,Lizzie,Wadell,3.125,Science
10538,Rosaline,Gibbeon,2.75,Robotics
10539,Rayna,Federica,2.5,Music
10540,Clary,Dalli,2.875,Health
10541,Steffane,Brieta,2.5,English
10542,Karina,Seessel,2.875,Graphic Design
10543,June,Thad,3,Architecture
10544,Melina,Gilmour,3,Health
10545,Cecile,Dearborn,2.5,Science
10546,Rochette,Hirsch,3,Music
10547,Almeta,Colbert,2.5,English
10548,Genevra,Argus,3.5,Sports
10549,Ginnie,Kesley,2.625,Sports
10550,Brandise,Sparhawk,2.625,Art
10551,Ann-Marie,Arne,2.25,IT
10552,Kerrin,Wallis,3.5,Health
10553,Shauna,Ferino,3.25,Architecture
10554,Judy,Masao,2.75,Science
10555,Misha,Justinn,2.875,English
10556,Bettine,Katrine,2.875,Sports
10557,Alleen,Vilma,3.125,History
10558,Moyna,Zola,2.875,Health
10559,Calla,Ochs,2.75,Business/Commerce
10560,Minda,Guildroy,2.75,Graphic Design
10561,Sashenka,Lory,2,Psychology
10562,Magdalena,Roche,3,History
10563,Rubie,Isidore,2.375,Architecture
10564,Priscilla,Erskine,2.75,Psychology
10565,Farrah,Wildermuth,3.5,Engineering
10566,Isa,Bebe,2.75,English
10567,Margalo,Weinreb,2.625,Computer science
10568,Madeleine,Stacy,2.375,Robotics
10569,Oona,Kazimir,3,History
10570,Renie,Alcott,2.5,English
10571,Hannis,Yuille,2.75,History
10572,Millie,Ade,2.875,Sports
10573,Daryl,Ilka,2.875,Architecture
10574,Flo,Dreda,2.875,Psychology
10575,Sara-Ann,Ferino,3,Architecture
10576,Therine,Hazlett,2.375,Robotics
10577,Darci,Melleta,3.125,Psychology
10578,Gui,Peonir,3,Engineering
10579,Therine,Payson,2.375,Robotics
10580,Shirlee,Devlen,3.25,Business/Commerce
10581,Emelina,Lattie,3,Statistics
10582,Donetta,Zrike,2.875,Health
10583,Ira,Brenn,3,Business/Commerce
10584,Merle,Scammon,2.875,English
10585,Estell,Jacqui,3.375,Sports
10586,Jsandye,Tice,2.75,Business/Commerce
10587,Emma,Meter,2.625,Business/Commerce
10588,Edyth,Loleta,3.125,Health
10589,Clarice,Schonfeld,3.125,Science
10590,Carmencita,Meli,3.125,IT
10591,Gloria,Nicoline,2.875,Sports
10592,Bill,Ursulette,2.75,Health
10593,Pierette,Trace,2.75,Statistics
10594,Frieda,Engdahl,3,Music
10595,Malina,Voletta,2.5,Art
10596,Isa,Rolf,2.25,Art
10597,Chandra,Corilla,3.25,Psychology
10598,Pollyanna,McCutcheon,3,Statistics
10599,Gabriellia,Cookie,2.75,Health
10600,Shell,Paine,2.625,Engineering
10601,Clo,Clywd,2.5,Art
10602,Feliza,Callista,3,Engineering
10603,Andree,Ahab,3.25,Art
10604,Ernesta,Richers,2.75,Psychology
10605,Modestia,Kinnard,2.5,Statistics
10606,Delilah,Dash,2.625,Business/Commerce
10607,Marsiella,Selway,3.125,Psychology
10608,Arabel,Zenas,3.125,Computer science
10609,Claudina,Allare,3.125,English
10610,Aaren,Cleavland,2.875,Art
10611,Carolina,Haldas,2.625,Robotics
10612,Elmira,Doig,2.75,Engineering
10613,Tami,Colleen,2.5,Statistics
10614,Hyacinthe,Weitman,2.875,Computer science
10615,Lusa,Brittani,2.375,Robotics
10616,Adelle,Sandye,2.75,Graphic Design
10617,Latisha,Peti,2.5,History
10618,Clementine,Allina,2.875,History
10619,Taffy,Erb,2.125,History
10620,Christy,Ochs,2.5,Music
10621,Rhea,Hebner,2.375,Art
10622,Tybie,Eben,2.5,Statistics
10623,Neila,Sadowski,2.625,Sports
10624,Lenna,Granoff,2.375,Business/Commerce
10625,Consuela,Palocz,1.875,Music
10626,Rochette,Albertine,2.125,History
10627,Codie,Si,3.25,Health
10628,Bettine,Randene,3.5,Psychology
10629,Tersina,Liebermann,2.625,History
10630,Cathyleen,Juliet,2.75,Robotics
10631,Gianina,Rebecka,2.625,Science
10632,Nerta,Revkah,2.375,Statistics
10633,Belva,Lewes,3,IT
10634,Carly,Vorster,3.125,Computer science
10635,Phedra,Pacorro,3.375,Art
10636,Aurelie,Hebner,3.5,Science
10637,Feliza,Rudolph,3,Architecture
10638,Lyssa,Rhu,3,Health
10639,Demetris,Capello,2.75,Business/Commerce
10640,Nessie,Delp,3.25,Business/Commerce
10641,Mureil,Radu,2.75,Psychology
10642,Gloria,Cadmar,2.625,Graphic Design
10643,Feliza,Ingra,2.25,Science
10644,Gwyneth,Docilla,2.875,Statistics
10645,Alie,Wyn,3.5,History
10646,Caressa,Lutero,1.75,IT
10647,Concettina,Bronk,2.875,IT
10648,Gloria,Brian,3.25,Science
10649,Nyssa,Belldas,2.625,Architecture
10650,Nickie,Hepsibah,3.125,History
10651,Karlee,LaRue,2.75,English
10652,Gabriellia,Rillings,3.125,Psychology
10653,Dode,Gaspard,2.5,IT
10654,Renae,Bonilla,2.75,Statistics
10655,Minda,Reneta,2.625,Science
10656,Claresta,Boehike,2.625,History
10657,Tarra,Dash,2.875,Science
10658,Clarice,Hachmin,3,Science
10659,Renae,Darbie,2.625,Computer science
10660,Fina,Brotherson,2.375,English
10661,Selma,Jillane,2.5,Engineering
10662,Selia,Wu,2.625,Graphic Design
10663,Ayn,Aida,2.75,IT
10664,Madalyn,Emerson,3,Health
10665,Sophia,Deegan,2.875,IT
10666,Kayla,Gamaliel,2.625,Graphic Design
10667,Morganica,Rolf,2.75,English
10668,Nanete,O'Rourke,2.625,History
10669,Nita,Hourigan,2.5,Sports
10670,Marcy,Pacorro,2.75,Graphic Design
